都道府県名,人口,年
北海道,5183687,2022
青森県,1243081,2022
岩手県,1206479,2022
宮城県,2268355,2022
秋田県,956836,2022
山形県,1056682,2022
福島県,1841244,2022
茨城県,2890377,2022
栃木県,1942494,2022
群馬県,1943667,2022
埼玉県,7385848,2022
千葉県,6310875,2022
東京都,13794933,2022
神奈川県,9215210,2022
新潟県,2188469,2022
富山県,1037319,2022
石川県,1124501,2022
福井県,767561,2022
山梨県,816340,2022
長野県,2056970,2022
岐阜県,1996682,2022
静岡県,3658375,2022
愛知県,7528519,2022
三重県,1784968,2022
滋賀県,1415222,2022
京都府,2511494,2022
大阪府,8800753,2022
兵庫県,5488605,2022
奈良県,1335378,2022
和歌山県,935084,2022
鳥取県,551806,2022
島根県,666331,2022
岡山県,1879280,2022
広島県,2788687,2022
山口県,1340458,2022
徳島県,726729,2022
香川県,964885,2022
愛媛県,1341539,2022
高知県,693369,2022
福岡県,5108507,2022
佐賀県,812193,2022
長崎県,1320055,2022
熊本県,1747513,2022
大分県,1131140,2022
宮崎県,1078313,2022
鹿児島県,1605419,2022
沖縄県,1485670,2022
